supporter_id,supporter_type,display_name,organization_name,first_name,last_name,relationship_type,region,country,email,phone,status,created_at,first_donation_date,acquisition_channel,total_donations,total_lifetime_value,avg_gift_size,last_donation_date,first_donation_date_actual,is_recurring_donor,num_campaigns,dominant_channel,days_since_last_donation,donation_frequency,is_churned,total_social_referral_value,referral_donations_count
38,PartnerOrganization,Faith Partners,Faith Partners,,,PartnerOrganization,Mindanao,Philippines,faith-partners@faithpartners.ph,+63 929 536 9976,Active,2022-07-05,2025-10-28,WordOfMouth,9.0,6792.7,754.7444444444444,2026-01-12,2023-01-10,1,2.0,Direct,85.0,0.2459016393442623,0,101676.20000000001,117.0
39,InKindDonor,Ben Morris,,Ben,Morris,PartnerOrganization,Luzon,Philippines,ben-morris@globe.com.ph,+63 998 383 9540,Active,2022-07-10,2023-09-12,Event,5.0,1943.22,388.644,2025-06-15,2023-07-13,0,1.0,SocialMedia,296.0,0.21337126600284495,1,842147.25,214.0
40,InKindDonor,Lena Nash,,Lena,Nash,Local,Luzon,Philippines,lena-nash@globe.com.ph,+63 967 443 6238,Active,2022-07-15,2025-07-22,WordOfMouth,2.0,1646.05,823.025,2025-07-22,2025-02-06,0,1.0,Direct,259.0,0.3614457831325301,1,0.0,0.0
41,SocialMediaAdvocate,Cleo Owens,,Cleo,Owens,Local,Luzon,Philippines,cleo-owens@globe.com.ph,+63 955 165 7797,Active,2022-07-20,2024-01-13,SocialMedia,4.0,2166.7000000000003,541.6750000000001,2025-01-23,2023-06-08,0,1.0,Event,439.0,0.20168067226890757,1,0.0,0.0
42,MonetaryDonor,Finn Price,,Finn,Price,Local,Visayas,Philippines,finn-price@smart.com.ph,+63 995 888 1320,Active,2022-07-25,2025-12-31,Website,5.0,2146.77,429.354,2025-12-31,2024-10-24,0,2.0,Campaign,97.0,0.3464203233256351,0,0.0,0.0
43,SocialMediaAdvocate,Hugo Ross,,Hugo,Ross,Local,Mindanao,Philippines,hugo-ross@pldt.net.ph,+63 976 871 7389,Active,2022-07-30,2023-08-12,Website,6.0,3280.16,546.6933333333333,2025-10-23,2023-08-12,0,0.0,Campaign,166.0,0.22415940224159403,0,20231.510000000002,6.0
44,SocialMediaAdvocate,Vera Stone,,Vera,Stone,Local,Mindanao,Philippines,vera-stone@eastern.com.ph,+63 951 325 8999,Active,2022-08-04,2025-10-05,WordOfMouth,7.0,6064.91,866.4157142857142,2025-12-17,2023-11-19,1,2.0,Direct,111.0,0.2766798418972332,0,0.0,0.0
45,MonetaryDonor,Noel Turner,,Noel,Turner,Local,Luzon,Philippines,noel-turner@smart.com.ph,+63 945 960 8657,Active,2022-08-09,2024-10-25,SocialMedia,11.0,11184.74,1016.7945454545454,2025-11-27,2023-04-09,1,3.0,Campaign,131.0,0.3426791277258567,0,40707.77,28.0
46,PartnerOrganization,Faith Alliance,Faith Alliance,,,Local,Luzon,Philippines,faith-alliance@faithalliance.ph,+63 906 185 8022,Inactive,2022-08-14,2025-04-22,Event,5.0,2048.05,409.61,2025-09-02,2024-02-15,0,1.0,SocialMedia,217.0,0.26548672566371684,1,26793.54,6.0
47,MonetaryDonor,Kaya Ward,,Kaya,Ward,Local,Luzon,Philippines,kaya-ward@globe.com.ph,+63 920 434 6529,Inactive,2022-08-19,2025-10-07,SocialMedia,6.0,7264.21,1210.7016666666666,2025-10-07,2024-03-17,0,2.0,Campaign,182.0,0.31634446397188054,1,60074.77,97.0
48,SkillsContributor,Ian Xu,,Ian,Xu,PartnerOrganization,Luzon,Philippines,ian-xu@pldt.net.ph,+63 926 581 1317,Inactive,2022-08-24,2024-05-04,PartnerReferral,4.0,2257.2799999999997,564.3199999999999,2025-11-20,2024-05-04,1,3.0,Direct,138.0,0.21238938053097348,0,0.0,0.0
49,SkillsContributor,Faye Yu,,Faye,Yu,PartnerOrganization,Luzon,Philippines,faye-yu@yahoo.com.ph,+63 999 141 1508,Inactive,2022-08-29,2026-01-22,Website,4.0,1952.98,488.245,2026-01-22,2023-12-01,0,1.0,Campaign,75.0,0.1532567049808429,0,0.0,0.0
50,PartnerOrganization,Bright Foundation,Bright Foundation,,,Local,Visayas,Philippines,bright-foundation@brightfoundation.ph,+63 935 677 4571,Inactive,2022-09-03,2025-01-24,Event,4.0,3201.4,800.35,2025-07-08,2024-04-13,0,1.0,Campaign,273.0,0.2660753880266075,1,48630.97,20.0
51,InKindDonor,Mira Bello,,Mira,Bello,Local,Luzon,Philippines,mira-bello@yahoo.com.ph,+63 945 418 2771,Inactive,2022-09-08,2026-01-06,WordOfMouth,6.0,2653.68,442.28,2026-02-27,2023-05-11,0,2.0,Campaign,39.0,0.1759530791788856,0,223927.07,48.0
52,InKindDonor,Cole Cruz,,Cole,Cruz,International,Mindanao,USA,cole-cruz@gmail.com,+1 (347) 403-2245,Inactive,2022-09-13,2024-05-16,Church,6.0,4305.91,717.6516666666666,2024-09-17,2023-01-17,1,2.0,Campaign,567.0,0.29556650246305416,1,195256.43,14.0
53,Volunteer,Dina DelosReyes,,Dina,DelosReyes,Local,Mindanao,Philippines,dina-delosreyes@pldt.net.ph,+63 992 714 2983,Inactive,2022-09-18,2024-11-09,WordOfMouth,2.0,2271.2799999999997,1135.6399999999999,2024-11-09,2023-12-17,0,1.0,Direct,514.0,0.18292682926829268,1,0.0,0.0
54,SkillsContributor,Sara Escobar,,Sara,Escobar,Local,Visayas,Philippines,sara-escobar@pldt.net.ph,+63 917 618 6590,Inactive,2022-09-23,2023-09-25,Event,23.0,11932.35,518.7978260869565,2025-11-23,2023-03-13,1,3.0,Campaign,135.0,0.6997971602434077,0,400974.07,92.0
55,MonetaryDonor,Kian Farah,,Kian,Farah,Local,Luzon,Philippines,kian-farah@pldt.net.ph,+63 998 948 8532,Inactive,2022-09-28,2023-11-03,SocialMedia,6.0,12074.79,2012.4650000000001,2025-06-16,2023-05-10,0,2.0,Campaign,295.0,0.234375,1,110254.23,86.0
56,SkillsContributor,Lyle Gomez,,Lyle,Gomez,International,Luzon,USA,lyle-gomez@gmail.com,+1 (469) 751-8921,Inactive,2022-10-03,2024-03-04,Church,4.0,1581.93,395.4825,2026-01-05,2023-03-29,0,1.0,Direct,92.0,0.11846001974333663,0,0.0,0.0
57,InKindDonor,Paz Hale,,Paz,Hale,International,Mindanao,USA,paz-hale@gmail.com,+1 (818) 288-5569,Inactive,2022-10-08,2025-12-06,SocialMedia,2.0,1731.4299999999998,865.7149999999999,2025-12-06,2023-12-05,0,1.0,Campaign,122.0,0.0819672131147541,0,0.0,0.0
58,SocialMediaAdvocate,Rico Iglesias,,Rico,Iglesias,Local,Luzon,Philippines,rico-iglesias@smart.com.ph,+63 978 129 9098,Inactive,2022-10-13,2023-01-09,WordOfMouth,3.0,870.43,290.1433333333333,2024-01-17,2023-01-09,0,1.0,Campaign,811.0,0.24128686327077747,1,0.0,0.0
59,SocialMediaAdvocate,Lea Jain,,Lea,Jain,Local,Luzon,Philippines,lea-jain@pldt.net.ph,+63 967 710 5526,Inactive,2022-10-18,2025-03-05,WordOfMouth,4.0,1368.02,342.005,2025-10-02,2023-03-08,0,0.0,Campaign,187.0,0.12779552715654952,1,4636.05,3.0
60,InKindDonor,Tess Khan,,Tess,Khan,Local,Visayas,Philippines,tess-khan@smart.com.ph,+63 928 668 4937,Inactive,2022-10-23,2023-08-14,Website,6.0,3976.01,662.6683333333334,2025-05-29,2023-04-12,1,2.0,Event,313.0,0.23136246786632392,1,0.0,0.0
